ID,rader,year,authors,title,journal,vol,begin,end,DOI,exclude,rationale
12,Jacob,2019,"Cui, Wenhui; Chui, Ting Fong May",Temporal and spatial variations of energy balance closure across FLUXNET research sites,AGRICULTURAL AND FOREST METEOROLOGY,271,12,21,10.1016/j.agrformet.2019.02.026,,
13,Jacob,2019,"Kleinhesselink, Andrew R.; Cushman, J. Hall",Effects of native bryophytes on exotic grass invasion across an environmental gradient,ECOSPHERE,10,,,10.1002/ecs2.2769,,
14,Jacob,2019,"Montesinos-Navarro, Alicia; Verdu, Miguel; Ignacio Querejeta, Jose; Valiente-Banuet, Alfonso",Nurse shrubs can receive water stored in the parenchyma of their facilitated columnar cacti,JOURNAL OF ARID ENVIRONMENTS,165,10,15,10.1016/j.jaridenv.2019.04.011,,
15,Jacob,2019,"O'Brien, Michael J.; Tavares de Menezes, Luis Fernando; Brathen, Kari Anne; Losapio, Gianalberto; Pugnairea, Francisco, I",Facilitation mediates species presence beyond their environmental optimum,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,38,24,30,10.1016/j.ppees.2019.03.004,,
16,Jacob,2019,"He, Fang-Lan; Bao, Ai-Ke; Wang, Suo-Min; Jin, Hong-Xi",NaCl stimulates growth and alleviates drought stress in the salt-secreting xerophyte Reaumuria soongorica,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,162,433,443,10.1016/j.envexpbot.2019.03.014,,
17,Jacob,2019,"Woods, Natasha N.; McCarthy, Ryan; Miriti, Maria N.",Non-hierarchical competition among co-occurring woody seedlings in a resource-limited environment,ECOSPHERE,10,,,10.1002/ecs2.2751,,
18,Jacob,2019,"Wang, Xiangtai; Michalet, Richard; Liu, Ziyang; Guo, Aifeng; Zhou, Xianhui; Du, Guozhen; Ge, Wenjing; Chen, Shuyan; Xiao, Sa",Stature of dependent forbs is more related to the direct and indirect above- and below-ground effects of a subalpine shrub than are foliage traits,JOURNAL OF VEGETATION SCIENCE,30,403,412,10.1111/jvs.12739,,
19,Jacob,2019,"Zhou, Xiangjun; An, Xiaoliang; De Philippis, Roberto; Ye, Chaoran; Ke, Tan; Zhang, Yurui; Chen, Lanzhou",The facilitative effects of shrub on induced biological soil crust development and soil properties,APPLIED SOIL ECOLOGY,137,129,138,10.1016/j.apsoil.2019.02.010,,
20,Jacob,2019,"Filazzola, Alessandro; Liczner, Amanda Rae; Westphal, Michael; Lortie, Christopher J.",Shrubs indirectly increase desert seedbanks through facilitation of the plant community,PLOS ONE,14,,,10.1371/journal.pone.0215988,,
21,Jacob,2019,"Lucero, Jacob E.; Noble, Taylor; Haas, Stephanie; Westphal, Michael; Butterfield, H. Scott; Lortie, Christopher J.",The dark side of facilitation: native shrubs facilitate exotic annuals more strongly than native annuals,NEOBIOTA,,75,93,10.3897/neobiota.44.33771,,
22,Jacob,2019,"Yuan, S.; Liu, N.; Ren, H.; Zhang, H.; Wang, J.",Do pioneer species enhance early performance of native species in subtropical shrublands? An examination involving six native species in South China,COMMUNITY ECOLOGY,20,53,63,10.1556/168.2019.20.1.6,,
23,Jacob,2019,"Fedriani, Jose M.; Garrote, Pedro J.; Calvo, Gemma; Delibes, Miguel; Castilla, Antonio R.; Zywiec, Magdalena","Combined effects of seed provenance, plant facilitation and restoration site on revegetation success",JOURNAL OF APPLIED ECOLOGY,56,996,1006,10.1111/1365-2664.13343,,
24,Jacob,2019,"Pierce, Nathan A.; Archer, Steven R.; Bestelmeyer, Brandon T.; James, Darren K.",Grass-Shrub Competition in Arid Lands: An Overlooked Driver in Grassland-Shrubland State Transition?,ECOSYSTEMS,22,619,628,10.1007/s10021-018-0290-9,,
25,Jacob,2019,"Pelaez, Marta; Dirzo, Rodolfo; Fernandes, Geraldo Wilson; Perea, Ramon",Nurse plant size and biotic stress determine quantity and quality of plant facilitation in oak savannas,FOREST ECOLOGY AND MANAGEMENT,437,435,442,10.1016/j.foreco.2019.02.010,,
26,Jacob,2019,"Ploughe, Laura W.; Jacobs, Elin M.; Frank, Graham S.; Greenler, Skye M.; Smith, Melinda D.; Dukes, Jeffrey S.",Community Response to Extreme Drought (CRED): a framework for drought-induced shifts in plant-plant interactions,NEW PHYTOLOGIST,222,52,69,10.1111/nph.15595,,
27,Jacob,2019,"Fan, Ying; Li, Xiao-Yan; Huang, Heng; Wu, Xiu-Chen; Yu, Kai-Liang; Wei, Jun-Qi; Zhang, Ci-Cheng; Wang, Pei; Hu, Xia; D'Odorico, Paolo",Does phenology play a role in the feedbacks underlying shrub encroachment?,SCIENCE OF THE TOTAL ENVIRONMENT,657,1064,1073,10.1016/j.scitotenv.2018.12.125,,
28,Jacob,2019,"Chen, Jian-Guo; He, Xiao-Fang; Wang, Song-Wei; Yang, Yang; Sun, Hang",Cushion and shrub ecosystem engineers contribute differently to diversity and functions in alpine ecosystems,JOURNAL OF VEGETATION SCIENCE,30,362,374,10.1111/jvs.12725,,
29,Jacob,2019,"Sanaei, Anvar; Ali, Arshad",What is the role of perennial plants in semi-steppe rangelands? Direct and indirect effects of perennial on annual plant species,ECOLOGICAL INDICATORS,98,389,396,10.1016/j.ecolind.2018.11.012,,
30,Jacob,2019,"Abella, Scott R.; Chiquoine, Lindsay P.",The good with the bad: when ecological restoration facilitates native and non-native species,RESTORATION ECOLOGY,27,343,351,10.1111/rec.12874,,
31,Jacob,2019,"Guo, Yanpei; Schob, Christian; Ma, Wenhong; Mohammat, Anwar; Liu, Hongyan; Yu, Shunli; Jiang, Youxu; Schmid, Bernhard; Tang, Zhiyao",Increasing water availability and facilitation weaken biodiversity-biomass relationships in shrublands,ECOLOGY,100,,,10.1002/ecy.2624,,
32,Jacob,2019,"Ruwanza, Sheunesu","Nurse plants have the potential to accelerate vegetation recovery in Lapalala Wilderness old fields, South Africa",AFRICAN JOURNAL OF ECOLOGY,57,82,91,10.1111/aje.12536,,
33,Jacob,2019,"Vega-Alvarez, Julia; Antonio Garcia-Rodriguez, Jose; Cayuela, Luis",Facilitation beyond species richness,JOURNAL OF ECOLOGY,107,722,734,10.1111/1365-2745.13072,,
34,Jacob,2019,"Zhang, Ruichang; Tielboerger, Katja",Facilitation from an intraspecific perspective - stress tolerance determines facilitative effect and response in plants,NEW PHYTOLOGIST,221,2203,2212,10.1111/nph.15528,,
35,Jacob,2019,"Vaz, Pedro G.; Bugalho, Miguel N.; Fedriani, Jose M.; Branco, Manuela; Lecomte, Xavier; Nogueira, Carla; Caldeira, Maria C.","Unravelling associations between tree-seedling performance, herbivory, competition, and facilitation in high nature value farmlands",JOURNAL OF ENVIRONMENTAL MANAGEMENT,232,1066,1074,10.1016/j.jenvman.2018.11.082,,
36,Jacob,2019,"Jiang, Jun; Lu, Yuanchang; Wang, Ling; Liu, Xianzhao; Cai, Daoxiong; Jia, Hongyan; Ming, Angang; Chen, Beibei",Facilitation by Tree Species in Variable Retention Harvesting for the Restoration of Monoculture Plantations in Southern China,TROPICAL CONSERVATION SCIENCE,12,,,10.1177/1940082918824836,,
37,Jacob,2019,"Maltoni, Alberto; Mariotti, Barbara; Tani, Andrea; Martini, Sofia; Jacobs, Douglass F.; Tognetti, Roberto",Natural regeneration of Pinus pinaster facilitates Quercus ilex survival and growth under severe deer browsing pressure,FOREST ECOLOGY AND MANAGEMENT,432,356,364,10.1016/j.foreco.2018.09.045,,
38,Jacob,2019,"Fernandez, Gaston; Lezama, Felipe; Rodriguez, Claudia",Decoupling facilitative effects in a temperate subhumid grassland: photosynthetic metabolism matters,PLANT ECOLOGY & DIVERSITY,12,63,73,10.1080/17550874.2019.1572246,,
39,Jacob,2019,"Foronda, Ana; Pueyo, Yolanda; Arroyo, Antonio I.; Saiz, Hugo; de la Luz Giner, Maria; Alados, Concepcion L.",The role of nurse shrubs on the spatial patterning of plant establishment in semi-arid gypsum plant communities,JOURNAL OF ARID ENVIRONMENTS,160,82,90,10.1016/j.jaridenv.2018.09.003,,
40,Jacob,2018,"Barrere, Mathieu; Domine, Florent; Belke-Brea, Maria; Sarrazin, Denis",Snowmelt Events in Autumn Can Reduce or Cancel the Soil Warming Effect of Snow-Vegetation Interactions in the Arctic,JOURNAL OF CLIMATE,31,9507,9518,10.1175/JCLI-D-18-0135.1,,
41,Jacob,2018,"Uselman, Shauna M.; Davison, Jay; Baughman, Owen W.; Sullivan, Benjamin W.; Miller, W. Wally; Leger, Elizabeth A.",Restoring dryland old fields with native shrubs and grasses: Does facilitation and seed source matter?,PLOS ONE,13,,,10.1371/journal.pone.0205760,,
42,Jacob,2018,"Stevenson, Philip C.; Green, Paul W. C.; Farrell, Iain W.; Brankin, Alice; Mvumi, Brighton M.; Belmain, Steven R.","Novel Agmatine Derivatives in Maerua edulis With Bioactivity Against Callosobruchus maculatus, a Cosmopolitan Storage Insect Pest",FRONTIERS IN PLANT SCIENCE,9,,,10.3389/fpls.2018.01506,,
43,Jacob,2018,"de Azevedo, Djane Ventura; Zandavalli, Roberta Boscaini; Ferreira, Tiago Osorio; Martins, Fernando Roberto; de Araujo, Francisca Soares",CAN THE CO-OCURRENCE OF PLANTS IN CAATINGA BE EXPLAINED BY THE FACILITATION PROCESS? A CASE STUDY OF TWO SPECIES OF FABACEA,CIENCIA FLORESTAL,28,1514,1522,10.5902/1980509835098,,
44,Jacob,2018,"Fang, Weiwei; Lu, Nan; Zhang, Yu; Jiao, Lei; Fu, Bojie",Responses of nighttime sap flow to atmospheric and soil dryness and its potential roles for shrubs on the Loess Plateau of China,JOURNAL OF PLANT ECOLOGY,11,717,729,10.1093/jpe/rtx042,,
45,Jacob,2018,"Asmus, Ashley L.; Chmura, Helen E.; Hoye, Toke T.; Krause, Jesse S.; Sweet, Shannan K.; Perez, Jonathan H.; Boelman, Natalie T.; Wingfield, John C.; Gough, Laura",Shrub shading moderates the effects of weather on arthropod activity in arctic tundra,ECOLOGICAL ENTOMOLOGY,43,647,655,10.1111/een.12644,,
46,Jacob,2018,"Macek, P.; Schob, C.; Pugnaire, F., I; Nunez-Avila, M.; Armesto, J. J.",Shrubs mediate forest start-up and patch dynamics in a semiarid landscape,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,34,140,149,10.1016/j.ppees.2018.09.002,,
47,Jacob,2018,"Garcia-Cervigon, Ana I.; Carlos Linares, Juan; Garcia-Hidalgo, Miguel; Julio Camarero, J.; Olano, Jose M.",Growth delay by winter precipitation could hinder Juniperus sabina persistence under increasing summer drought,DENDROCHRONOLOGIA,51,22,31,10.1016/j.dendro.2018.07.003,,
48,Jacob,2018,"Kopp, Christopher W.; Cleland, Elsa E.",Plant community response to Artemisia rothrockii (sagebrush) encroachment and removal along an arid elevational gradient,JOURNAL OF VEGETATION SCIENCE,29,859,866,10.1111/jvs.12669,,
49,Jacob,2018,"Piston, Nuria; Michalet, Richard; Schob, Christian; Macek, Petr; Armas, Cristina; Pugnaire, Francisco I.",The balance of canopy and soil effects determines intraspecific differences in foundation species' effects on associated plants,FUNCTIONAL ECOLOGY,32,2253,2263,10.1111/1365-2435.13139,,
50,Jacob,2018,"Graff, Pamela; Aguiar, Martin R.; Almeida, Rocio J.",Females engage in stronger relationships: positive and negative effects of shrubs are more intense for Poa ligularis females than for males,ANNALS OF BOTANY,122,435,443,10.1093/aob/mcy085,,
51,Jacob,2018,"Roach, Melissa C.; Thompson, Frank R., III; Jones-Farrand, Todd","Songbird nest success is positively related to restoration of pine-oak savanna and woodland in the Ozark Highlands, Missouri, USA",CONDOR,120,543,556,10.1650/CONDOR-17-189.1,,
52,Jacob,2018,"Hunter, John T.",Complexities of shrub encroachment: are shrubs important for the maintenance of diversity in Themeda-dominated assemblages on coastal headlands in eastern Australia?,JOURNAL OF COASTAL CONSERVATION,22,667,677,10.1007/s11852-018-0599-8,,
53,Jacob,2018,"Tomao, Antonio; Secondi, Luca; Carrus, Giuseppe; Corona, Piermaria; Portoghesi, Luigi; Agrimi, Mariagrazia","Restorative urban forests: Exploring the relationships between forest stand structure, perceived restorativeness and benefits gained by visitors to coastal Pinus pinea forests",ECOLOGICAL INDICATORS,90,594,605,10.1016/j.ecolind.2018.03.051,,
54,Jacob,2018,"Fagundez, Jaime",Canopy height and competition explain species segregation in wet heathlands,JOURNAL OF VEGETATION SCIENCE,29,765,774,10.1111/jvs.12661,,
55,Jacob,2018,"Adler, Peter B.; Kleinhesselink, Andrew; Hooker, Giles; Taylor, Joshua B.; Teller, Brittany; Ellner, Stephen P.",Weak interspecific interactions in a sagebrush steppe? Conflicting evidence from observations and experiments,ECOLOGY,99,1621,1632,10.1002/ecy.2363,,
56,Jacob,2018,"Lyseng, Mark P.; Bork, Edward W.; Hewins, Daniel B.; Alexander, Mike J.; Carlyle, Cameron N.; Chang, Scott X.; Willms, Walter D.","Long-term grazing impacts on vegetation diversity, composition, and exotic species presence across an aridity gradient in northern temperate grasslands",PLANT ECOLOGY,219,649,663,10.1007/s11258-018-0824-4,,
57,Jacob,2018,"Paniw, Maria; Salguero-Gomez, Roberto; Ojeda, Fernando",Transient facilitation of resprouting shrubs in fire-prone habitats,JOURNAL OF PLANT ECOLOGY,11,475,483,10.1093/jpe/rtx019,,
58,Jacob,2018,"Li, Xia; He, Xueli; Hou, Lifeng; Ren, Ying; Wang, Shaojie; Su, Fang",Dark septate endophytes isolated from a xerophyte plant promote the growth of Ammopiptanthus mongolicus under drought condition,SCIENTIFIC REPORTS,8,,,10.1038/s41598-018-26183-0,,
59,Jacob,2018,"Dalotto, Cecilia E. S.; Suhs, Rafael B.; Dechoum, Michele S.; Pugnaire, Francisco I.; Peroni, Nivaldo; Castellani, Tania T.",Facilitation influences patterns of perennial species abundance and richness in a subtropical dune system,AOB PLANTS,10,,,10.1093/aobpla/ply017,,
60,Jacob,2018,"Francisco, Talitha Mayumi; Garbin, Mario Luis; Castanho, Camila De Toledo; Ruiz-Miranda, Carlos Ramon",An overview on epiphytism as a direct mechanism of facilitation in tropical forests,TROPICAL ECOLOGY,59,1,9,,,
61,Jacob,2018,"Tomiolo, Sara; Ward, David",Soil properties and climate mediate the effects of biotic interactions on the performance of a woody range expander,ECOSPHERE,9,,,10.1002/ecs2.2186,,
62,Jacob,2018,"Dechoum, Michele S.; Peroni, Nivaldo; Pugnaire, Francisco I.",Factors controlling shrub encroachment in subtropical montane systems,APPLIED VEGETATION SCIENCE,21,190,197,10.1111/avsc.12366,,
63,Jacob,2018,"Corenblit, Dov; Garofano-Gomez, Virginia; Gonzalez, Eduardo; Hortobagyi, Borbala; Julien, Frederic; Lambs, Luc; Otto, Thierry; Roussel, Erwan; Steiger, Johannes; Tabacchi, Eric; Till-Bottraud, Irene",Niche construction within riparian corridors. Part II: The unexplored role of positive intraspecific interactions in Salicaceae species,GEOMORPHOLOGY,305,112,122,10.1016/j.geomorph.2017.09.016,,
64,Jacob,2018,"Zhang, Gefei; Zhao, Wenzhi; Zhou, Hai; Yang, Qiyue; Wang, Xiaofen",Extreme drought stress shifts net facilitation to neutral interactions between shrubs and sub-canopy plants in an arid desert,OIKOS,127,381,391,10.1111/oik.04630,,
65,Jacob,2018,"Arroyo, Antonio I.; Pueyo, Yolanda; Luz Giner, M.; Foronda, Ana; Sanchez-Navarrete, Pedro; Saiz, Hugo; Alados, Concepcion L.",Evidence for chemical interference effect of an allelopathic plant on neighboring plant species: A field study,PLOS ONE,13,,,10.1371/journal.pone.0193421,,
66,Jacob,2018,"Filazzola, Alessandro; Sotomayor, Diego A.; Lortie, Christopher J.",Modelling the niche space of desert annuals needs to include positive interactions,OIKOS,127,264,273,10.1111/oik.04688,,
67,Alex,2018,"Van de Peer, Thomas; Mereu, Simone; Verheyen, Kris; Saura, Jose Maria Costa; Morillas, Lourdes; Roales, Javier; Lo Cascio, Mauro; Spano, Donatella; Paquette, Alain; Muys, Bart",Tree seedling vitality improves with functional diversity in a Mediterranean common garden experiment,FOREST ECOLOGY AND MANAGEMENT,409,614,633,10.1016/j.foreco.2017.12.001,excluded,no field study
68,Alex,2018,"Jiang, Xingpei; Michalet, Richard; Chen, Shuyan; Zhao, Liang; Wang, Xiangtai; Wang, Chenyue; An, Lizhe; Xiao, Sa",Phenotypic effects of the nurse Thylacospermum caespitosum on dependent plant species along regional climate stress gradients,OIKOS,127,252,263,10.1111/oik.04512,excluded,no benefactor
69,Alex,2018,"Ward, David; Trinogga, Juliane; Wiegand, Kerstin; du Toit, Justin; Okubamichael, Desale; Reinsch, Sabine; Schleicher, Jana",Large shrubs increase soil nutrients in a semi-arid savanna,GEODERMA,310,153,162,10.1016/j.geoderma.2017.09.023,included,
70,Alex,2018,"Angulo, Diego F.; Tun-Garrido, Juan; Arceo-Gomez, Gerardo; Munguia-Rosas, Miguel A.; Parra-Tabla, Victor",Patterns of phylogenetic community structure of sand dune plant communities in the Yucatan Peninsula: the role of deterministic and stochastic processes in community assembly,PLANT ECOLOGY & DIVERSITY,11,515,526,10.1080/17550874.2018.1534289,excluded,not drylands
71,Alex,2018,"Molina-Venegas, Rafael; Aparicio, Abelardo; Lavergne, Sebastien; Arroyo, Juan",Soil conditions drive changes in a key leaf functional trait through environmental filtering and facilitative interactions,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,86,1,8,10.1016/j.actao.2017.11.008,excluded,missing benefactor species and error terms
72,Alex,2018,"Zhang, Hai-Yang; Lu, Xiao-Tao; Knapp, Alan K.; Hartmann, Henrik; Bai, Edith; Wang, Xiao-Bo; Wang, Zheng-Wen; Wang, Xiao-Guang; Yu, Qiang; Han, Xing-Guo",Facilitation by leguminous shrubs increases along a precipitation gradient,FUNCTIONAL ECOLOGY,32,203,213,10.1111/1365-2435.12941,excluded,"meta-analysis, but data within the meta could be used?"
73,Alex,2018,"Filazzola, Alessandro; Liczner, Amanda Rae; Westphal, Michael; Lortie, Christopher J.",The effect of consumer pressure and abiotic stress on positive plant interactions are mediated by extreme climatic events,NEW PHYTOLOGIST,217,140,150,10.1111/nph.14778,included,
74,Alex,2018,"Gutierrez, M.; Pando-Moreno, M.; Jurado, E.; Gonzalez-Rodriguez, H.; Marmolejo, J. G.; Mendoza, D.",NON-RANDOM DISTRIBUTION OF BIOCRUST IN A NATURAL ARID ENVIRONMENT IN THE NORTHERN MEXICAN PLATEAU,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,16,2441,2451,10.15666/aeer/1603_24412451,excluded,measured soils
75,Alex,2018,"Lortie, Christopher J.; Gruber, Eva; Filazzola, Alex; Noble, Taylor; Westphal, Michael",The Groot Effect: Plant facilitation and desert shrub regrowth following extensive damage,ECOLOGY AND EVOLUTION,8,706,715,10.1002/ece3.3671,included,
76,Alex,2018,"Wang, C.; Zhou, J.; Liu, J.; Jiang, K.; Xiao, H.; Du, D.",Responses of the soil fungal communities to the co-invasion of two invasive species with different cover classes,PLANT BIOLOGY,20,151,159,10.1111/plb.12646,excluded,measured soils
77,Alex,2017,"Henning, Katrin; Lorenz, Antje; von Oheimb, Goddert; Haerdtle, Werner; Tischew, Sabine","Year-round cattle and horse grazing supports the restoration of abandoned, dry sandy grassland and heathland communities by supressing Calamagrostis epigejos and enhancing species richness",JOURNAL FOR NATURE CONSERVATION,40,120,130,10.1016/j.jnc.2017.10.009,excluded,no plant-interaction contrast
78,Alex,2017,"Lozano, Yudi M.; Armas, Cristina; Hortal, Sara; Casanoves, Fernando; Pugnaire, Francisco I.","Disentangling above- and below-ground facilitation drivers in arid environments: the role of soil microorganisms, soil properties and microhabitat",NEW PHYTOLOGIST,216,1236,1246,10.1111/nph.14499,included,
